
0.098248,0,0.61562,0.028939
0.098349,0,0.32123,0.028657
0.11869,0,0.65335,0.21639
0.12602,0,0.48503,0.27732
0.14636,0,0.36792,0.42839
0.14649,0,0.90477,0.42768
0.16801,0,0.3383,0.56559
0.19848,0,0.3751,0.73093
0.20289,0,0.58227,0.75356
0.20313,0,0.75605,0.7551
0.20904,0,0.1337,0.78282
0.20925,0,0.17258,0.78449
0.21365,0,0.089202,0.80504
0.23411,0,0.020692,0.8964
0.24665,0,0.68915,0.9491
0.24693,0,0.25165,0.94983
0.25387,0,0.9151,0.97894
0.25415,0,0.06667,0.97868
0.25439,0,0.65489,0.97975
