0.2955,1.3553,0.11718
0.10215,0.5112,0.17194
0.40326,1.9355,0.036817
0.11193,0.55907,0.16613
0.22144,1.0553,0.18544
0.074085,0.37453,0.11551
0.27223,1.2055,0.070523
0.39786,1.9896,0.10312
0.16528,0.81032,0.097571
0.11029,0.5455,0.11147
0.12738,0.54453,0
0.054526,0.19922,0.3
0.13489,0.66132,0.10412
0.40418,1.9804,0.26236
0.38121,1.8162,0.16451
0.16445,0.81034,0.19354
0.31926,1.3838,0.28886
0.27379,1.2324,0.088627
0.25952,1.1137,0.048558
0.34744,1.5461,0.27055
0.0039995,0.030346,0.15757
0.39585,1.9567,0.12232
0.047908,0.19098,0.024633
0.30564,1.3247,0.27877
0.12191,0.53765,0.020396
